DATE,std_RAD,std_TMAX,std_TMIN,std_RAIN,std_VAPO,std_WIND,std_q,std_TAVG,std_RH,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,RAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_RAD,rolling_std_RAD,rolling_mean_TMAX,rolling_std_TMAX,rolling_mean_TMIN,rolling_std_TMIN,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_TAVG,rolling_std_TAVG,rolling_mean_RH,rolling_std_RH,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
185,6.690360195103841,11.022015586371074,5.450525652178648,2.442913749236124,6.464242939556742,0.9705135505103148,0.03968180713944528,5.680925940392982,17.40546453940006,3168.5432998650917,8.308740407472051e-05,0.0011811397043062582,0.5398616686240875,0.7550371051222832,9.509140006405138,21.733333333333334,21.4,13.773333333333333,1.1900000000000002,13.366666666666664,2.2499999999999996,0.08205345834361379,3.8133333333333344,21.76096125776168,-6868.363604656799,-2.1128009259259255e-05,-0.0004582473992515832,0.04604661602064112,0.8392674515643704,8.667555838679544,22.917333333333335,0.6039311546081748,23.000999999999998,1.4374471970978109,12.670666666666667,0.8561409252866005,2.260000000000001,1.3056562608914106,14.763333333333344,0.8463399778012934,2.4803333333333333,0.1817707822614804,0.0906271239411136,0.005195395669305612,5.165166666666664,0.7435726445867783,19.925420609151395,1.7681495205108937,-7312.0319208678775,338.69185918907175,-2.3236940586419745e-06,1.0685288375912627e-05,-3.5683199122049575e-05,0.00020670765900192628,-0.004790411169125564,0.0835830774693163,0.6791970868858671,0.10106461438610279,7.24839757845177,1.1402143916714076
186,4.056283617008208,11.133278270907958,6.22931888677273,6.244037155558893,4.683432526458031,1.4592589837342773,0.028750012646996257,5.214530979228461,10.227378987417925,2051.929387924122,0.00010415650580342688,0.001244999797963971,0.8136875241650903,0.5623449762717763,7.0784484162487615,25.436666666666667,23.433333333333334,12.419999999999998,2.74,15.083333333333334,2.543333333333334,0.09259149601118515,5.506666666666666,19.694499705670047,-7424.373861700941,1.9657561728395056e-05,0.00027634357214820297,-0.05819866867677026,0.6441313429434528,7.662258472621005,23.149333333333335,1.0028660164317924,23.034,1.4438313228659352,12.745000000000001,0.7899605397239581,2.1983333333333346,1.2619358536650875,14.894666666666676,0.7738666743242228,2.4916666666666667,0.1818169612753641,0.09143333497820547,0.004750506503130037,5.144499999999998,0.7293807833775793,20.14332555544366,1.5601893112510727,-7365.399722577284,305.32768903930196,-2.3991512345679035e-07,1.2762902983374469e-05,2.114162474298868e-05,0.00020655189452330403,-0.007110076107066271,0.08482732120362135,0.679986898769534,0.10072182892298756,7.384616008033909,1.094796210909419
187,4.42716405943979,8.523020888010967,5.686977461154401,3.4932134532383015,6.388391051734784,1.0353743284435828,0.03921617798350886,4.492440969235875,10.30754359671777,2889.993031630695,8.391272372386093e-05,0.001157887661638082,0.5030043765219918,0.5058697576837979,6.066969815908804,24.743333333333332,25.24666666666667,12.396666666666667,0.9433333333333334,14.146666666666665,2.3800000000000003,0.0868416152644132,6.425000000000001,17.127698011629214,-6731.269619433432,1.066074459876543e-05,-0.00015078163839542727,0.14199564132428602,0.5540643768051228,5.885985732532769,23.316000000000003,1.1209836949949974,23.188666666666666,1.597740070641416,12.636333333333333,0.7508849922624085,2.110333333333334,1.3203239875495583,14.84500000000001,0.8070174474531705,2.479,0.18503953531510378,0.09112844806316311,0.004954007918241865,5.276166666666664,0.8335318467258289,19.821384125407896,1.8234196743607904,-7304.629680392335,365.683144362109,1.5284915123456788e-06,1.2942446916014964e-05,-7.995182961181076e-06,0.00020837310963972745,0.01893069301248861,0.08681029051057505,0.6680036185744823,0.10836532255909123,7.284646415660097,1.1871640676690236
188,6.124123207241282,10.4209498320594,5.8879420911695055,2.525913969103134,4.8180038314161004,1.369994546511505,0.029576100499785977,5.446813103871451,14.036695855197252,2185.0682122680346,7.612554505127856e-05,0.0008332436553513032,0.45739863304618084,0.6466208308717266,8.666428382499435,22.916666666666668,22.93666666666667,12.819999999999999,1.19,15.183333333333332,2.636666666666666,0.09320536228308249,5.058333333333332,21.090169539757063,-7498.351003674737,-1.5865354938271606e-05,0.00016687932220988566,-0.04435997634213821,0.7069870420060399,7.903630871531662,23.332000000000004,1.1132282052828295,23.406,1.3615303662685976,12.690999999999999,0.7413601946905324,1.9676666666666676,1.33651292179442,14.800333333333345,0.7702660274777956,2.4776666666666665,0.18371374673861673,0.09085425446171562,0.004728403346569683,5.357499999999997,0.7579924956467501,19.72451527634674,1.713781555920343,-7270.877073157528,324.4532545364557,9.44182098765432e-07,1.363522492975966e-05,-7.190298770458155e-06,0.00020910337359470214,0.010690025486923143,0.08868511085097869,0.6584971289469695,0.0990703510059063,7.19046594947042,1.082312657457256
189,6.662798590492681,7.9583715772084656,6.144270296077831,8.668996813191617,5.388332435622509,1.172304930713299,0.033077155439992116,4.389558208335757,12.459583167037053,2390.3651612672306,8.488428561709388e-05,0.0010329606394510972,0.6781673548851228,0.48689113658153055,7.318729201261666,23.223333333333336,23.713333333333335,11.536666666666665,2.3233333333333333,14.196666666666667,2.4133333333333336,0.08714854840036183,6.088333333333333,18.057283490531553,-6991.684021717566,1.1957060185185177e-05,-0.00015883048030265647,0.042165454408564444,0.5665508729667257,6.717099799498283,23.406666666666673,1.0738278134038521,23.677999999999997,1.065496116984258,12.682999999999998,0.7545556291823978,1.8373333333333346,1.214758828881552,14.738333333333344,0.793409971399436,2.4639999999999995,0.18281610540393228,0.09047365737313925,0.004870476212291483,5.497499999999997,0.7499116203070889,19.464664916181537,1.7534283094870464,-7234.599344935053,334.204017879352,1.6252314814814807e-06,1.4032737111772873e-05,-9.98056396496428e-06,0.00021111447665146668,0.021148545726058048,0.0852038713080696,0.6375140944182243,0.09338628743768816,7.026548631868936,1.0076863939132992
190,4.820354353359722,8.360815144772516,5.5782634384282845,7.330027206673567,4.692248437827952,1.225120214603402,0.028804130553456566,5.214772341599645,13.317416516356039,2370.6682313664483,6.200675058590677e-05,0.0009122024637650957,0.1925739260930722,0.6741307879229861,6.60338179928835,24.726666666666667,24.576666666666664,12.543333333333331,3.0966666666666667,15.226666666666667,2.566666666666667,0.09347137100090469,6.016666666666665,20.267398888701262,-7361.343244952703,-8.319637345678985e-07,0.0001658061432889218,-0.06240072336329175,0.6335111753216804,6.745800472125327,23.57933333333334,1.138070491860955,23.641666666666662,1.0230289690936558,12.635666666666664,0.7460977495287272,2.0530000000000013,1.2291073243678992,14.81100000000001,0.8023823324372313,2.468333333333333,0.18488067556543272,0.090919733530718,0.004925554510495368,5.5029999999999974,0.7538853271020409,19.785103024254607,1.5463313111936186,-7262.757142979712,331.5607432067802,6.384837962962913e-08,1.3253179779528917e-05,1.1697650238506414e-05,0.00021747152848902704,0.01555347883222497,0.08897131065220647,0.649254208661367,0.08325847471975212,7.1749247830409,0.8085691850043835
191,6.172390322950305,8.155841288698351,5.844212187451275,8.417917398818625,5.069308143866503,1.2891278348994886,0.031118772913742574,4.785652947919544,9.719681107851702,2355.323604936243,7.687640446316838e-05,0.0009755151813070722,0.435654484510387,0.517023910555814,5.677133782389992,21.77666666666666,24.35333333333334,11.963333333333335,2.4733333333333336,14.373333333333335,2.7766666666666677,0.08823304548071387,6.194999999999999,17.900257671701734,-7017.284469671763,2.070235339506174e-06,-0.00013736690188337867,-0.0701233247183873,0.5807937907364046,6.28763459724878,23.424000000000003,1.2737955337214015,23.692,1.04653006893499,12.436999999999996,0.6091735952384841,2.0186666666666677,1.21005274856966,14.815333333333342,0.7996082374096314,2.4716666666666662,0.19060171128738312,0.09094633440250022,0.004908525276770551,5.627499999999998,0.7552144859264054,19.58352211774713,1.6549389584633853,-7252.156990442309,338.1442390820283,1.4452951388888883e-06,1.2588936224293612e-05,6.975662986264796e-07,0.00022239330523270048,0.022173830000072094,0.07822875365749912,0.6379565120775293,0.08420641887466851,7.115566459079318,0.8530887110171033
192,5.3925672558805795,9.27769293557922,5.322582555251845,4.171756431545103,5.143083738850417,1.1548797021494412,0.03157165640824042,4.306689530560995,7.452961620895938,2205.9380453258223,8.244549376554682e-05,0.0006305823299608766,1.0532078856093188,0.4607224804120903,4.704405382063059,23.45666666666667,24.259999999999994,12.866666666666667,1.43,14.419999999999998,2.6933333333333342,0.08851951640759931,5.696666666666667,17.48159788641276,-7098.3714008824945,-5.785050154320993e-06,7.512252446747306e-06,0.15820220298097418,0.593627154908102,5.876222125036776,23.516666666666673,1.2346369486865048,23.788666666666668,1.0502524094029382,12.494999999999996,0.6207706282029496,1.7153333333333343,0.8581680171615653,14.751666666666674,0.8035941638955065,2.4986666666666664,0.2017895248660813,0.09055550620939223,0.004932993535089965,5.646833333333331,0.7541565683792909,19.412650957118082,1.7832836870531341,-7221.036678776586,336.3626894285321,2.24436728395061e-07,1.2644374753408442e-05,-1.0248858695205256e-05,0.00021869726581620977,0.035244571680688605,0.08934614577874767,0.6339654096595522,0.08537679236628684,7.006767772888277,0.939535162405535
193,5.552590779790647,9.270358150033097,4.1771958916528416,1.2159854808570587,4.488636994563665,1.2799784480944227,0.027554228577533667,4.8208836887265685,10.578868234837971,1864.7384484979546,6.918853562865053e-05,0.0011532101802315307,0.35706030891830326,0.5681275116145125,6.504991238014459,22.366666666666667,24.16666666666667,13.8,0.4,15.279999999999998,2.4400000000000004,0.09379876634591659,5.183333333333334,20.204269066458057,-7548.334523744353,-5.959182098765428e-06,0.0001384400808043424,0.02265113656943965,0.6654373704368147,6.940420059313137,23.440333333333335,1.2838170805439888,23.806,1.0554231495903645,12.682666666666664,0.7064968349382461,1.643333333333334,0.9399711054135366,14.749000000000006,0.8015895473801665,2.529333333333333,0.15882904856060273,0.09053913644214164,0.004920687870421407,5.561666666666665,0.7535393851274594,19.546777780780268,1.787784174674379,-7237.800208080984,349.13867337948625,-9.886824845679012e-07,1.2592188264089528e-05,-4.2927156838562594e-07,0.0002233709059330207,0.025117189626785857,0.08374123441045424,0.6422303208848407,0.08385905236976317,7.043956089316462,0.9275453208795109
194,5.41997582384225,9.274917355643822,6.204155077839775,3.946482501916236,6.004063757922246,0.9569828065090946,0.03685692235309782,5.194090364312473,14.518460648571645,2677.9105869198374,8.808580776273328e-05,0.0012017464305174564,0.853856661253956,0.609258895439576,7.5325525272914025,22.780000000000005,24.906666666666673,12.653333333333336,1.3900000000000003,15.046666666666663,2.0266666666666664,0.09236641171148945,6.126666666666667,19.773440132948608,-7182.75243220164,1.095096450617284e-05,-3.756126223373636e-05,-0.1334677340553199,0.6165419088967868,6.720716648378248,23.31600000000001,1.281285812507704,23.899333333333338,1.111636320314275,12.67733333333333,0.706496834938246,1.7176666666666673,0.8798667828458782,14.632333333333339,0.6316762923140383,2.4726666666666666,0.22198765397768982,0.08982295912492803,0.0038776477060874794,5.610999999999998,0.774607108694146,19.335757565157202,1.5955039285513424,-7172.2128182636425,278.10898954876427,5.7270061728395e-07,1.304583891766306e-05,-1.878063111686823e-05,0.00021746890993235878,0.004251062414799831,0.0951028295895272,0.6400912486585503,0.08425275073174736,6.940732461696557,0.8968041376247158
195,5.720120768759642,9.32299653372327,5.356732792187468,10.574934580379697,5.453596303695219,0.8982486152021852,0.033477788313826064,4.373240204363061,7.876446998470824,2094.6253933426347,9.100967639974494e-05,0.001367340080702486,0.3727104688118888,0.4839057842267457,5.51743226833003,22.47666666666667,24.336666666666662,13.669999999999996,2.7800000000000002,15.663333333333336,2.0066666666666664,0.09615192038818982,5.333333333333333,19.47700984565736,-7575.092763513671,-9.209645061728399e-06,9.926905018916032e-05,-0.03989042658388322,0.6198220076138257,6.595514374527127,23.39033333333334,1.1981296638336845,24.193000000000005,0.6834398290997367,12.666999999999996,0.689230112624317,1.8766666666666674,0.9168060500091249,14.862000000000004,0.5296451176186636,2.4483333333333333,0.2593070061853137,0.09123280532938563,0.0032513127378118504,5.762999999999998,0.47312188808768296,19.107362423946768,1.3551297980080346,-7242.88573414933,282.08406664362053,1.7645370370370357e-06,1.1266045125428896e-05,3.697101382720612e-05,0.00015468849303842779,-0.004342641845652603,0.09478866492481094,0.6181467042634957,0.04691693143119754,6.733528315281315,0.6621715052130105
196,6.767424508833373,9.517515009393104,4.767814748001894,3.077401874772058,6.4490220233358855,1.0088174481432015,0.03958837106849169,5.281701223667612,12.71853362748719,2796.2350970306506,5.957586303789268e-05,0.0013865172555838751,0.5161286627049473,0.6551786078558942,6.8325099004821475,20.87,22.70333333333333,13.996666666666663,0.9166666666666666,14.433333333333334,2.1233333333333326,0.08860136524385229,4.3533333333333335,20.377887296233542,-7174.617592874905,-1.1376620370370367e-05,-0.0001980015109178386,-0.09837742347173761,0.7606237651628517,7.09432993622131,22.933666666666674,1.2017943888563514,24.120000000000005,0.8022560780789981,12.824666666666664,0.7981756977285294,1.6943333333333341,0.907291519432739,14.797000000000002,0.5392620700984979,2.4063333333333334,0.275705380415624,0.09083379225265235,0.0033103479654699617,5.647666666666664,0.6500456774074023,19.17570118300312,1.4043659039129832,-7217.910107266727,275.2024638893475,-1.3388811728395065e-06,9.99183886123837e-06,-1.0463494479398037e-05,0.00014559048688073537,-0.00836051732514934,0.0981182134410646,0.6297959464854357,0.06504549611704598,6.6767354616413455,0.5945702222912861
197,4.53444543492353,11.31077453977645,6.337544576913666,2.7499717866891302,5.324499868586225,0.9013144934438556,0.03268530884047008,6.010102605890629,15.545869455378998,2200.4804528690224,0.0001066486803949168,0.0012879368197270052,0.5740199384068833,0.7998632511847324,8.471385907460249,24.113333333333333,22.25,11.863333333333335,1.22,15.093333333333334,2.0266666666666664,0.09265288263837483,5.1933333333333325,20.66623467173994,-7395.739480627923,9.751388888888884e-06,0.00010624471317542565,0.10722898375969228,0.7503339481812846,7.990406480927801,22.870666666666676,1.109345040892723,23.820333333333338,0.8895725842874971,12.771333333333333,0.8463183885599993,1.7220000000000006,0.8858102240809936,14.89166666666667,0.49356913783903006,2.371,0.3009411164257159,0.09141491899004853,0.003029854465688153,5.524499999999998,0.6012492396237576,19.529554849014193,1.2704085629020467,-7284.357093386176,219.15997890042965,-1.4298167438271613e-06,9.87393860998276e-06,1.5239140677687253e-05,0.00014067088402576253,-0.011837183081608712,0.09266291392233574,0.6494229036230519,0.06913771589112715,6.8871775364808485,0.6531301969336998
198,5.2549276272672,11.883967757242209,4.347467224070564,2.0022286433446816,4.760464576961553,1.0746878723557394,0.029222886423588324,6.044953485650503,16.902700098750984,2143.719489994552,0.00011330878346328666,0.0011332034514715608,0.872589015052975,0.884621599091847,9.336599871543987,23.956666666666667,22.839999999999996,14.976666666666665,0.5266666666666667,15.693333333333332,2.0566666666666666,0.09633608026975903,3.931666666666666,24.457935595520322,-7829.097083001462,-1.4646431327160491e-05,9.658610288675059e-05,0.10548414546415708,0.8883254680728301,9.039660084437257,22.97466666666668,1.1616529304677836,23.81066666666667,0.9006976719722244,12.987,1.0975882090033537,1.6556666666666673,0.9524083183898973,14.942666666666668,0.5501600216143652,2.3129999999999997,0.29994011748026506,0.09172799078871617,0.0033772468141535935,5.411833333333331,0.7779156425433147,19.86633145459052,1.9789075268717875,-7317.431701318848,273.31073746261023,-1.30792438271605e-06,9.68158351182237e-06,8.209818745373743e-06,0.00013384200820808152,0.003147229099020816,0.0987358859199015,0.6675567462297309,0.1019218963628776,7.000780457771408,0.9012435228297615
199,6.3703479758434955,11.14534076148662,6.4358228760550915,1.214831713429487,4.822857454143603,1.1981595081192453,0.029605895252675256,6.014905814227102,17.407255826541167,2285.0941905795353,9.57656366678319e-05,0.0007599712282227126,1.1812568491959268,0.7921104661515015,9.421632896243294,23.406666666666663,23.3,12.946666666666665,0.4933333333333333,15.526666666666669,2.6400000000000006,0.09531296981659679,5.176666666666667,22.90657740766019,-7611.6187158561015,1.4452951388888882e-05,-2.682947302409741e-05,0.09812915361737487,0.7558411803962491,8.693248500448513,22.993000000000013,1.1674457187265843,23.769333333333336,0.915030593835097,13.128,0.9742033149016749,1.472666666666667,0.9851161490710088,15.075666666666669,0.5090005942415713,2.3356666666666666,0.31647382042176364,0.09254443293033968,0.0031245829718058982,5.320666666666665,0.7424368452170191,20.351260846303383,2.078021248116392,-7379.425170732703,261.2558089026195,-1.0583352623456796e-06,1.0085302705084983e-05,2.1409919473229652e-05,0.00012147519743184192,0.008743599019901857,0.10269963054757782,0.6864857769726832,0.09860219146632147,7.198395327866431,1.0383542522109832
200,6.13056784229369,8.522331044777692,5.827135295076513,4.775186100965131,5.578663169489684,1.1461128708132016,0.03424553162025743,5.306595332507324,13.279369928097836,2694.147273511198,7.080856046585141e-05,0.0009757986416549532,0.5960402322504648,0.6316075920291778,6.397396446821665,22.360000000000003,25.243333333333332,12.796666666666665,2.1033333333333335,15.57,2.3433333333333333,0.09557897853441895,6.223333333333334,20.42290408633263,-7376.365153567702,1.215054012345679e-05,6.975662986265279e-06,0.11929869669754857,0.6146839303607933,6.62236430539134,22.756333333333348,1.0056144243051404,23.836000000000002,1.0006649640965042,13.153333333333332,0.9605078389279054,1.3733333333333337,0.8429958335060986,15.110000000000003,0.5314039174270273,2.3133333333333335,0.30607027354135546,0.09275519368369109,0.003262109416625584,5.341333333333332,0.7664515801349463,20.36681136606652,2.077905796920139,-7380.927361594203,261.18346490532304,2.3991512345678934e-07,1.0918834798057576e-05,5.526871442963999e-06,0.0001103737984611724,0.026913541025985886,0.1047666052187679,0.6846030524765945,0.09989732489976523,7.186051711193033,1.0450444947702393
201,5.089250560187405,9.373519193396126,4.921042081959246,1.1629135032718274,5.799426249861808,0.8541716428226233,0.03560072171146356,5.75150055382851,17.667000095585447,2844.4298985447213,9.53086994831102e-05,0.001179192802824472,1.0945562651349163,0.7805074770699856,8.561599136331125,23.556666666666665,24.029999999999998,13.67,0.47333333333333344,14.110000000000001,2.2266666666666666,0.08661653096471751,5.1800000000000015,21.023719297770494,-7019.063145612875,-1.2111844135802465e-05,-0.00023502618369109293,-0.2109812948842547,0.734639953939243,7.332827149757765,22.93433333333335,0.9698390473568108,23.803666666666665,0.9872251297399247,13.323999999999998,0.8732284358829305,1.1733333333333338,0.7885132125841345,15.08366666666667,0.5765702124429808,2.2583333333333333,0.25942124569134806,0.09259354223209146,0.0035393700679941962,5.239833333333332,0.7056353629404469,20.6791575286734,1.8924197372813312,-7381.105229188314,260.90876707999047,-1.1782928240740745e-06,1.1557062905458279e-05,-4.239056737807427e-06,0.00012742526647555513,0.012827744009399145,0.12648147733734263,0.6999876687968783,0.0937939492190072,7.290570966443932,0.9963382366335347
202,5.520540536586247,9.60304310005996,6.183553455201413,2.1472677105311426,5.188475292614293,1.0128144467019986,0.03185029984708699,4.732326163689506,9.466116632595714,2237.5817038323466,8.454804062901733e-05,0.0013791053601548949,1.0627665149847567,0.46189924953701794,5.932405214312968,22.386666666666667,24.31333333333334,12.276666666666667,0.74,14.780000000000003,2.0199999999999996,0.09072943498642981,6.0183333333333335,18.296595364540728,-7184.9084003306225,9.73204089506173e-06,0.00010785448155687138,-0.06328664810696699,0.5820964723294634,6.62087614186538,22.827333333333346,0.9648204592144108,23.808999999999997,0.990104184566546,13.264999999999997,0.9259046293847064,1.1043333333333338,0.7937301373037291,15.11966666666667,0.540647645461635,2.191,0.21805566171264618,0.0928145340899745,0.0033188535452959634,5.2719999999999985,0.7354749032654554,20.760657276486196,1.7517313616240289,-7389.758929133127,251.7640816785092,3.734162808641978e-07,1.1906237787657184e-05,5.79516617320498e-06,0.000132310576797711,-0.009321141099394973,0.11725187192785289,0.6988346005390145,0.09530548766795495,7.365036368126792,0.9022728392726298
