DATE,std_SRAD,std_TMAX,std_TMIN,std_RAIN,std_VAPO,std_WIND,std_q,std_TAVG,std_RH,std_dewpoint,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_SRAD,rolling_std_SRAD,rolling_mean_TMAX,rolling_std_TMAX,rolling_mean_TMIN,rolling_std_TMIN,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_TAVG,rolling_std_TAVG,rolling_mean_RH,rolling_std_RH,rolling_mean_dewpoint,rolling_std_dewpoint,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
158,6.663173797633622,4.504900269349101,2.5434274097181833,4.446830202579666,2.638749703931769,1.9513037197977543,0.0016198394432228574,2.7668522303093486,0.08517931836905068,2.612821857172998,240.0619845297632,1.762232031719413e-05,3.350240045649119e-05,1.1862935845817888,0.14267733217225192,0.11879399025704312,20.606666666666666,25.49666666666667,14.116666666666667,1.6133333333333335,16.29,2.0,0.009999881569207992,19.806666666666665,0.6928703241100878,13.912201347105487,748.1580187466853,5.030478395061726e-06,5.902484065301443e-07,0.3113572497757526,0.5145905696046973,0.5008844653219221,21.674666666666663,1.1105789836892659,25.104666666666645,0.6948722237991064,12.910666666666671,0.6866645091659757,2.1770000000000005,0.8298258779131452,15.167000000000005,0.7145134751513547,2.0153333333333316,0.13562111347335123,0.00931050974586726,0.00043861572321154604,19.007666666666672,0.638238412824654,0.6780493898095322,0.01813701151995362,12.803709369056497,0.7221538742730877,785.5763229988597,53.36417560875764,2.0779745370370332e-06,3.1707788119603593e-06,3.1712437114483084e-06,4.092367844784986e-06,0.2518419775099533,0.2665415687390516,0.4839564384897669,0.016726148921043436,0.47397553717668445,0.017977282424036782
159,6.074843548432423,4.4709278010608555,1.9480287708229627,7.788379938662824,2.7892012616806485,1.5158776525403577,0.001712196580079312,2.702270756489681,0.09942207436397606,2.78947303078091,275.05682437048654,1.4965183619858935e-05,2.9242691147627576e-05,1.5287323229840235,0.14022208099680133,0.13082121124544666,21.019999999999996,25.833333333333336,14.03666666666667,4.01,16.363333333333333,1.6066666666666667,0.010044898429147133,19.935,0.690855024603557,13.956078562201192,758.6140924558651,1.4897955246913614e-06,1.18049681306029e-06,0.1865205523222261,0.49942588766739465,0.49397222574781297,21.775333333333332,0.9813648847584552,25.300666666666643,0.5750594172200334,13.090333333333337,0.7256303347545868,2.278000000000001,0.9875924085532961,15.348000000000004,0.7689662774156588,1.9556666666666647,0.17048985343255763,0.009421619541080681,0.00047204246193190006,19.195500000000003,0.6026669380940043,0.6776904022031666,0.01780899731113671,12.974668668478634,0.7759396837514168,787.9138523151676,51.389657731200174,2.180518904320984e-06,3.1291029487910177e-06,2.9136807704169732e-06,4.132323400381024e-06,0.25147531765682796,0.2666383104375472,0.48415357776320145,0.016913486435853484,0.47419715304503285,0.018232673129353026
160,6.445773809248972,3.6526875635320364,2.8541238565461287,9.339878657313129,2.5420170288006814,1.6807086627953702,0.001560458516569478,2.5126627584956616,0.09872030141320187,2.525801968284664,290.1325170315618,2.3800229092539812e-05,3.602628451024924e-05,1.2710040107799812,0.12543723732415402,0.10806743531917261,21.74,25.48333333333333,13.686666666666666,3.7666666666666666,16.043333333333333,1.9066666666666667,0.00984846122213998,19.585,0.6944786761335844,13.692203353825395,747.3021421037829,-4.063078703703706e-06,-5.151258820626711e-06,0.35346678076778026,0.49620756223026846,0.49197947032210537,21.800666666666665,0.9763421278513098,25.44799999999998,0.3538228614491447,13.255333333333336,0.642218762005292,2.4216666666666677,1.09468779020536,15.514000000000005,0.7148526568375345,1.9226666666666645,0.1391047211879889,0.009523521342215641,0.00043882393540873313,19.35166666666667,0.4475516385131438,0.6787702188422633,0.01852550248393505,13.14435966355337,0.7216086436631906,786.4287292616759,52.421078334600324,1.8129070216049346e-06,3.6386924729571805e-06,2.6722155132000957e-06,4.548740029149937e-06,0.22860864966712438,0.243972335248035,0.48502828898926864,0.017324697051046934,0.4753550510646932,0.019021027731159067
161,4.642434210874599,3.1316130029108002,2.9355705940487407,7.672060071918521,2.350925471960488,1.835987629237366,0.001443153854980926,2.35012594428958,0.07881911323303403,2.251423767326457,234.04148384133543,1.9738299092515955e-05,2.9690939796215172e-05,1.6663655291336414,0.10560355492903631,0.08309708775902032,24.37666666666667,27.430000000000007,14.096666666666666,2.453333333333333,16.493333333333332,1.853333333333333,0.010124701044493792,20.76333333333333,0.6620554050443168,14.130920325388992,841.8775862553542,1.3679031635802463e-05,7.243957716506304e-06,0.1711651302840538,0.45151950571589244,0.44793133189056156,22.014333333333333,1.2721557964220869,25.72666666666665,0.635172767398415,13.404000000000002,0.6482774897400881,2.5223333333333344,1.0399846271418445,15.691333333333338,0.7159543402228798,1.9039999999999977,0.13404255819479613,0.009632380294432108,0.0004395002216813044,19.565333333333335,0.5591030073604536,0.6777340051670684,0.019197914491432527,13.325457994644797,0.7189602439489023,790.8411532464606,55.26035249219174,2.480412808641971e-06,5.0394316906033254e-06,2.854655929763958e-06,4.705073362274135e-06,0.1997463245344561,0.2302722675043538,0.48125815309709113,0.020178172394486875,0.47331369389713557,0.02086315805987103
162,4.8822644077442625,3.546805264770946,2.1494746751963243,2.239409302246578,2.4310467921755694,1.4454208312150287,0.0014923376311208525,2.3917819067914983,0.07437404003745003,2.3727934021099903,226.97192720354815,2.1986935768137612e-05,2.9290168821421455e-05,1.3706955732045232,0.09422584298149865,0.06586256735344827,22.573333333333334,27.650000000000002,14.49,0.7433333333333334,16.596666666666668,2.2199999999999998,0.010188133892589853,21.07,0.6526016456834277,14.207653030207611,871.1159333876705,3.5600308641975365e-06,1.6634273274940323e-06,0.3589599743084072,0.45485593456311213,0.4422824950966297,21.94633333333333,1.2154808528741408,25.954333333333313,0.8619774136997541,13.634000000000004,0.5733888861975117,2.4980000000000007,1.0819098339921362,15.880333333333336,0.6754558588716061,1.9226666666666645,0.1637583284094424,0.009748401019820708,0.0004146395699166891,19.79416666666667,0.6616147707981365,0.676619515858371,0.02038682771957378,13.51884514816661,0.6625198697886836,795.6548902894401,60.24290239302731,2.656479552469132e-06,5.043748581491509e-06,3.04246224093264e-06,4.605373672277845e-06,0.22582096261569543,0.23225203693064708,0.48141984989325726,0.019933691868944826,0.47257547470584427,0.021897875022637982
163,4.8491686691235225,3.605406221632799,2.7149331610493683,1.2334234201333023,2.734263228421663,1.6548639559322325,0.0016784719744172456,2.68288744778294,0.07862680198667199,2.756366228746716,252.60677491320345,1.9101329101279986e-05,3.800624249596764e-05,1.300639904126381,0.1043966826185323,0.0784560580980803,23.80666666666667,27.396666666666665,15.049999999999999,0.30666666666666664,16.236666666666668,1.9066666666666663,0.009967142034706803,21.223333333333326,0.6307379216174286,13.809031177545444,940.2103785238238,1.7800154320987638e-06,-5.795166173205028e-06,-0.13299627777187878,0.47909571166374104,0.43883543170915107,22.07633333333333,1.3447184752868255,26.17199999999998,0.9282203867723856,13.87066666666667,0.6236230263647711,2.1736666666666675,1.210054023893455,16.04333333333334,0.5104706131733804,1.9043333333333312,0.1528418047654127,0.00984846122213998,0.00031336069222183107,20.021333333333338,0.7269625629296402,0.6739907771077017,0.024478311893868267,13.676797665472648,0.4856514213767668,804.6593866371716,74.36916021760749,2.637131558641972e-06,5.04702966871854e-06,2.623922461756721e-06,5.223811621442297e-06,0.166890981833063,0.2418376980267031,0.4820219029207431,0.019743668721663936,0.47102325906692144,0.02380022817267549
164,5.742025955093333,3.9292609933705083,2.7481843536013577,7.009665740468903,2.668582645025882,1.136383657085913,0.0016381528795520344,2.5603048489467484,0.09151384600855018,2.672663556913287,256.9592668306883,1.5196839547289849e-05,3.128457625549264e-05,0.8320092953024094,0.1342446211557749,0.11777087729171443,21.65,26.656666666666673,14.27,3.99,16.973333333333333,1.7366666666666668,0.010419356855004523,20.46333333333333,0.6932575694239512,14.538228914479244,752.6221448710894,-8.822685185185185e-06,1.185862707665103e-05,0.29431457152567464,0.4829312154514717,0.4862858534970745,22.050333333333334,1.350791674592383,26.30399999999998,0.8892704736517291,13.991000000000005,0.5645451572442299,2.285000000000001,1.3274446351013143,16.232333333333337,0.46323886593592917,1.8896666666666646,0.1618523179923723,0.00996448194752858,0.0002843667156299695,20.1475,0.6766421497109305,0.676370154542861,0.025136938575599618,13.850524227782675,0.4467020494901029,798.8370122833842,76.09026015824327,1.464643132716046e-06,6.2071860167370895e-06,3.0424622409326387e-06,5.8082927800545595e-06,0.14382917080879815,0.21320144118809442,0.48206075376465957,0.019745189596493618,0.47291908982375713,0.024224424084878887
165,5.2292600738097,4.0758061046005185,2.400995961928175,5.50873913854629,3.4245563518354536,1.3385530015397353,0.0021022196406036532,2.806687928223724,0.09445080643436134,3.242754660823008,288.0223424753525,2.781716122625773e-05,4.140306263149763e-05,1.4192971070476372,0.10463820814489483,0.08347303754885334,22.403333333333332,26.576666666666668,14.326666666666663,3.500000000000001,16.499999999999996,1.7999999999999996,0.010128793486306438,20.45166666666667,0.670713677058399,13.992898131504015,819.1744969255432,-1.3543595679012474e-07,-7.6195703388436495e-06,0.6529677934312347,0.4808636398303359,0.46690141284140513,21.983666666666668,1.310732949230115,26.37499999999998,0.8787550818216018,14.067333333333337,0.5517554477067587,2.445000000000001,1.371575871168042,16.356666666666673,0.31560250042043403,1.8729999999999982,0.16162332370493387,0.010040805987334485,0.00019373773033445655,20.22116666666667,0.6643120687533505,0.6781429834403456,0.02389911746571298,13.961589381647897,0.28968154071714664,794.2464593921732,72.9705373549955,8.5518132716049e-07,6.013016989724286e-06,2.0014786875976615e-06,6.719831785000697e-06,0.21298724984993628,0.25543041762089513,0.48231291642203733,0.01970848886636506,0.47427382085066394,0.023372527198400217
166,5.7306646422015755,4.017353163064159,2.5838935247270616,4.496794516045872,3.726989170344082,2.1227719895316666,0.002287872947400956,2.58001603844253,0.10187333577147055,3.5247056433257673,316.7658765225563,2.142003985695628e-05,4.902057122007179e-05,1.1020487901422535,0.12505064279639108,0.08743864620208996,22.250000000000007,26.553333333333335,14.706666666666667,1.2766666666666668,16.37,2.493333333333333,0.010048990870959784,20.63,0.6567334170363636,13.812903027971199,863.8193184089674,2.07023533950617e-06,-2.0926988958795965e-06,0.30636644680463354,0.49820774511028704,0.4628981378062658,22.159666666666666,1.2014954159579005,26.480666666666643,0.8231763233107414,14.179666666666671,0.5565978001314099,2.430000000000001,1.3847074834833593,16.412000000000006,0.25263158165480476,1.9373333333333314,0.2534200631265405,0.010074773254379473,0.00015508200719381585,20.33016666666667,0.6285911397622888,0.675440959026671,0.02470805269188372,13.994646886740156,0.24420544781717793,803.8104608680283,75.40150216444665,1.2653587962962924e-06,5.933596476195058e-06,8.907385044000307e-07,6.33898687267895e-06,0.2685016015449855,0.1977308043711544,0.482827858940244,0.02008413145055422,0.4721924908094688,0.023365438494841694
167,4.541584360743189,3.9445291664313484,3.107538109733857,5.7311901233413165,3.9687992914850145,2.056626520221443,0.00243631202497279,3.0761975520616915,0.10320418028779768,3.9494945697197084,324.7177882652642,2.4095256604584365e-05,4.3700421107434864e-05,1.3999174608983742,0.10288012210495287,0.0913910825979837,24.343333333333327,26.999999999999993,14.99,1.9966666666666668,16.363333333333333,2.1166666666666663,0.010044898429147135,20.995000000000005,0.6386803180168353,13.718745002217544,921.7773154743107,4.237210648148153e-06,-1.0731789209637893e-07,-0.011290891463641768,0.4887074448758782,0.4482467585083058,22.476999999999997,1.3238947871365585,26.607666666666642,0.791867693775025,14.377000000000006,0.434981055355901,2.3656666666666677,1.3888053752669496,16.42300000000001,0.24729374745611699,1.963999999999998,0.2572110628728782,0.010081525783370343,0.00015180529081425766,20.492333333333338,0.5597255720881297,0.6682983978727953,0.023883777752874757,13.977086287244612,0.25813552525001804,826.46714271531,73.14935487563444,1.8825597993827127e-06,5.884533631642419e-06,1.7707452195904172e-07,5.961595036553767e-06,0.24908313299842472,0.2157832276975349,0.48464052167130767,0.019669697709013924,0.4680217582741236,0.02356425554232528
168,5.294066294544722,3.865564151181112,3.0998869093201957,6.243931306550349,3.6654397111208996,1.7501527026972878,0.002250089810330323,2.972017001544787,0.10067833710933238,3.3719957517720163,283.5355848407043,2.0267863850966743e-05,3.953088485919159e-05,1.26282774701467,0.11274823206606066,0.08838134060633616,21.19,25.950000000000006,14.503333333333332,3.0233333333333334,16.38,2.1799999999999997,0.010055129533678757,20.22666666666667,0.6741131006924613,13.853271288797345,808.2147163718639,-8.919425154320988e-06,2.6829473024097186e-07,-0.03454586465577347,0.505069725692569,0.47959331589439685,22.535333333333334,1.2426884436177799,26.652999999999974,0.7319034038674267,14.415666666666672,0.4263686748737477,2.5066666666666677,1.3754487483215294,16.43200000000001,0.24352453168190225,1.981999999999998,0.2661532093817315,0.01008705057981742,0.00014949149637896088,20.534333333333336,0.5166596176341129,0.6664226755310327,0.022432024292105772,13.971193281413798,0.2604437170529775,832.4728124778278,68.31105697568617,4.875694444444414e-07,6.658020485839182e-06,1.4487915433012446e-07,5.959984913005722e-06,0.2144928215552721,0.23181986743367058,0.48368843728009486,0.01823718859463316,0.46589264333137115,0.02109786555879116
169,6.236787413515015,3.950504114492312,3.095306049525618,7.424083983125847,3.955005558215721,1.9970553034549319,0.002427844517355221,3.0659906801186976,0.11606611910535003,4.006511079746117,352.2880558522799,2.7274893257045622e-05,3.910433738656801e-05,1.2402941589134704,0.11930118069557909,0.11503462882138793,22.620000000000005,25.180000000000003,14.866666666666665,3.6766666666666667,15.5,2.5266666666666664,0.00951492721440908,20.02333333333333,0.6437036387804697,12.878751718154227,903.6238432796805,-2.360455246913585e-06,-1.4165961756723419e-05,0.01180807979996858,0.540817409576515,0.4755900353971482,22.69533333333333,1.1231604438885812,26.587666666666642,0.8350871175076834,14.498666666666674,0.42517737765449437,2.473333333333334,1.3385112422684449,16.345666666666673,0.3834220509253842,2.073999999999998,0.28061132559000784,0.010034053458343616,0.00023536986496470563,20.54316666666667,0.5059177274158133,0.6617075369487241,0.021668335976059393,13.863460597009103,0.43302747786576223,846.9737875602092,66.25051817298765,1.0254436728394677e-07,6.704786644504402e-06,-1.3897667026482463e-06,7.452583937074769e-06,0.19702157430304637,0.24058037934257726,0.487827589471007,0.025469113653999488,0.4640544242963046,0.019084214978813942
170,5.353225475216391,3.541452393788636,3.331743873916378,2.8872370756545926,3.0431022434955772,1.8235874709944175,0.0018680578292171218,2.6519180870136023,0.08600563188609772,3.1876135314497427,254.69506079282735,2.071585766885628e-05,3.839939228544783e-05,1.5048961275598118,0.13127587535597224,0.10279296524221782,23.94333333333333,25.453333333333333,13.849999999999994,1.3199999999999998,14.956666666666667,2.326666666666667,0.009181393206678178,19.651666666666664,0.638142849951577,12.497186288766732,905.1145319831664,-4.314602623456784e-06,-8.746408205855757e-06,-0.2725203127003256,0.5033733882867827,0.4555189180913217,22.915666666666663,1.1310162042698297,26.584666666666642,0.8395372034933967,14.515000000000006,0.39239137051461587,2.2286666666666677,1.2988610395265545,16.23700000000001,0.581467810643753,2.1159999999999983,0.2841917280140361,0.009967346656797434,0.0003569434771481372,20.549833333333336,0.4921403556198489,0.6560739543305234,0.01940682993857077,13.743958890503237,0.6130239285454049,862.7550265481475,58.1737002794452,7.7391975308639e-08,6.722598051637856e-06,-1.7492816411711512e-06,7.735544995489572e-06,0.1344228649562358,0.27441225418612497,0.48854417207665846,0.02582934327024742,0.46040836907322624,0.01645861758726052
171,5.806223375401386,3.4368941472367682,2.752764545630113,7.101079730106777,2.738956928736059,1.7505631277871176,0.0016813532787306475,2.0826844966637847,0.09631082372350355,2.809371134637271,289.02231679319635,2.105995255876726e-05,3.152699084249848e-05,1.0049289840216986,0.1277962647280665,0.11085506519090572,23.613333333333333,26.35,13.743333333333334,1.8466666666666665,15.013333333333332,2.2033333333333336,0.0092161789620857,20.04666666666667,0.6288349745585946,12.610876145259551,940.5153033767334,4.585474537037037e-06,9.122020828193238e-07,0.5543345193338841,0.47541353189945534,0.4377190074493157,22.839333333333332,1.0438565721447657,26.47666666666664,0.7865002962806238,14.479666666666674,0.4464329128536885,2.168000000000001,1.3013669925823068,16.089000000000006,0.6876333540700699,2.1509999999999985,0.269416607954993,0.009876494448556625,0.00042211492349521825,20.478166666666674,0.5094716762381305,0.6527519112819512,0.02104347352133913,13.591954472490292,0.6900297060633402,872.6187982602854,62.44594805217298,-8.319637345679037e-07,5.096718442439828e-06,-2.382457204539849e-06,7.154982226263416e-06,0.17273980386121884,0.3051434439694563,0.49093357469501475,0.022970730427997473,0.45938713662910163,0.017596326488303667
172,6.276913547131337,3.5842327125803433,2.731487321681312,4.325493792819976,2.229604882268265,1.4321633824473339,0.001368679236882172,2.302275236449329,0.12212148153194106,2.1829885243563867,351.25895491636004,2.085505898215419e-05,3.467053263092533e-05,0.9809263081445946,0.12919809237608654,0.13294588167045304,22.836666666666662,26.65,14.196666666666665,1.61,15.83,1.7833333333333337,0.00971750308413521,20.423333333333336,0.6551840837783138,13.50953868072488,875.888420204528,4.372646604938267e-06,1.3146441781807711e-05,0.1920606492875014,0.4801575939992378,0.45975955198805385,22.865666666666666,1.0397139326412528,26.376666666666644,0.6766402111231381,14.450333333333338,0.4552287445631697,2.254666666666668,1.222410288561189,16.01233333333334,0.6671776745236163,2.107333333333332,0.29147475167533193,0.009829431367711161,0.0004095578717529086,20.413500000000006,0.4651134535695129,0.6530101550914399,0.021057265796025765,13.522143037542019,0.6552556957665447,873.0960469419712,62.451422913247285,-7.507021604938307e-07,5.180317104513715e-06,-1.2341557591084813e-06,8.64314433466809e-06,0.15604987135912823,0.298314244695688,0.49346374063862725,0.01971857092243558,0.461134842318244,0.016545229364225283
173,5.932071414301062,3.80153628957025,2.3364773563596986,5.377193217334832,2.2250532732870725,2.0645335673160448,0.0013658851576457533,2.2024124703731527,0.10633093183430496,2.0983583171028237,328.51233872527393,1.9050780875275824e-05,3.333908193520142e-05,1.5310751363825505,0.13132814182468994,0.11074972989623026,22.746666666666666,27.526666666666664,14.813333333333329,2.2600000000000002,16.549999999999997,2.3666666666666667,0.010159486799901307,21.170000000000005,0.6524460732414828,14.194568976471121,884.8610724461029,8.6679012345679e-06,1.1590332346410067e-05,0.3477176338132976,0.4754086363033755,0.45312898433946164,22.759666666666668,0.985752141235595,26.389666666666642,0.699284378472329,14.426666666666671,0.42578902791912354,2.4500000000000015,1.0150180926441976,16.043666666666674,0.6859767299800325,2.153333333333332,0.2925832159772737,0.009848665844230612,0.00042109797784113163,20.408166666666677,0.45499114765503745,0.6551809702538453,0.019572706066696376,13.560696817434586,0.6846919940577099,867.5611163341991,58.14670122305476,-6.191358024691694e-08,5.954292840063482e-06,5.043940928530282e-07,9.34389057205403e-06,0.2041212625176459,0.2849956657863026,0.4930950331025906,0.020048788925658468,0.46256419758127504,0.014944716703821597
